ID,H,G,Epoch,MeanAnomaly,ArgPerihelion,LongAscNode,Inclination,Eccentricity,MeanMotion,SemiMajorAxis,Uncertainty,Reference,NObs,NOppositions,ObsStart,ObsEnd,RMS,CoarsePerturbers,PrecisePerturbers,Computer,ReadableDesignation,LastObsDate
c6101,15.41,0.15,K2555,80.99158,20.958,302.28675,15.2332,0.2402659,0.17690328,3.1427666,0,MPO904501,413.0,13,2003,025,0.88,M-v,3Ek,MPCLINUX,(386101) 2007 RP30,20250123
c6201,16.09,0.15,K2555,114.70266,164.23483,236.64987,8.73239,0.0934624,0.18523446,3.0478121,0,MPO916874,290.0,11,2007,025,0.85,M-v,3Ek,MPCLINUX,(386201) 2007 VU269,20250329
c6301,16.91,0.15,K2555,268.35578,59.53889,344.13824,6.20523,0.1724097,0.22616785,2.6679773,0,E2025-O47,338.0,12,2004,025,0.84,M-v,3Ek,MPCLINUX,(386301) 2008 SS28,20250721
c6401,17.36,0.15,K2555,285.00801,258.17263,158.94852,2.49667,0.1951734,0.22905689,2.6454962,0,E2024-CB5,251.0,13,1995,023,0.74,M-v,3Ek,MPCLINUX,(386401) 2008 UE198,20230414
c6501,14.77,0.15,K2555,350.90013,241.29308,312.57023,7.71463,0.0724488,0.12688952,3.922102,0,MPO916875,373.0,13,2009,025,0.85,M-v,3Ek,MPCLINUX,(386501) 2009 BA47,20250427
c6601,16.02,0.15,K2555,357.12714,102.87005,35.20276,14.65831,0.0132099,0.17330582,3.1861089,0,MPO904505,226.0,12,2000,025,0.9,M-v,3Ek,MPCLINUX,(386601) 2009 FP69,20250228
c6701,17.78,0.15,K2555,55.22664,317.64347,106.51455,2.24707,0.1751333,0.265654,2.3965794,0,MPO904506,259.0,12,1994,025,0.92,M-v,3Ek,MPCLINUX,(386701) 2009 WH72,20250227
c6801,16.93,0.15,K2555,173.23132,78.82737,25.72375,5.25125,0.1206728,0.21227264,2.7831719,0,E2025-N01,229.0,12,2003,025,0.95,M-v,3Ek,MPCLINUX,(386801) 2010 ER130,20250630
c6901,18.06,0.15,K2555,280.70078,74.66132,161.32569,2.53083,0.1670376,0.26813773,2.3817569,0,MPO904508,190.0,13,2003,025,0.91,M-v,3Ek,MPCLINUX,(386901) 2011 HS29,20250119
c7001,17.27,0.15,K2555,307.62423,231.01481,157.65869,3.57437,0.2012224,0.22864309,2.6486871,0,MPO843923,237.0,12,1995,024,0.95,M-v,3Ek,MPCLINUX,(387001) 2012 RJ3,20240702
c7101,17.67,0.15,K2555,97.58122,168.1598,132.09289,3.81617,0.0959959,0.24315266,2.5422409,0,E2024-TL3,252.0,15,2003,024,0.88,M-v,3Ek,MPCLINUX,(387101) 2012 TE134,20241007
c7201,15.85,0.15,K2555,32.1502,259.01262,229.59514,15.07888,0.0777683,0.18497408,3.0506716,0,MPO916880,285.0,12,2001,025,0.85,M-v,3Ek,MPCLINUX,(387201) 2012 TL307,20250427
c7301,15.74,0.15,K2555,152.93063,53.65208,267.01797,8.71142,0.1238623,0.17439754,3.1727984,0,MPO890987,336.0,14,2001,024,0.89,M-v,3Ek,MPCLINUX,(387301) 2012 VW15,20241209
c7401,17.5,0.15,K2555,68.19055,284.10293,0.29652,5.88839,0.1807766,0.26065209,2.4271423,0,MPO730986,228.0,12,1998,023,0.69,M-v,3Ek,MPCLINUX,(387401) 2013 QC48,20230122
c7501,15.8,0.15,K2555,190.9216,273.69774,103.41225,10.77895,0.077104,0.15353369,3.4540895,0,E2025-K95,224.0,15,1996,025,0.92,M-v,3Ek,MPCLINUX,(387501) 1996 XC17,20250525
c7601,17.5,0.15,K2555,286.2624,353.00263,110.6027,6.20887,0.1885183,0.24501422,2.5293476,0,E2025-M18,252.0,14,1998,024,0.97,M-v,3Ek,MPCLINUX,(387601) 2001 YB106,20240827
c7701,17.64,0.15,K2555,137.71389,16.53097,19.92462,7.13302,0.1182438,0.27889863,2.3200916,0,MPO916882,361.0,12,2002,025,0.87,M-v,3Ek,MPCLINUX,(387701) 2002 VB134,20250404
c7801,16.01,0.15,K2555,289.4676,220.87679,288.0013,15.31367,0.1848476,0.17752221,3.1354575,0,MPO890990,265.0,12,2004,024,0.84,M-v,3Ek,MPCLINUX,(387801) 2004 BQ58,20241205
c7901,15.35,0.15,K2555,195.34037,23.40166,50.69885,6.69391,0.2687966,0.12412197,3.9801882,0,E2024-UN8,300.0,10,2004,023,0.91,M-v,3Ek,Pan,(387901) 2004 VA79,20230518
c8001,17.04,0.15,K2555,343.42519,112.67917,159.62369,4.62031,0.1467364,0.19035126,2.992946,0,E2025-N32,123.0,12,2000,025,1.0,M-v,3Ek,MPCLINUX,(388001) 2005 QH125,20250703
c8101,15.76,0.15,K2555,311.53949,247.57895,74.63984,12.91701,0.2000324,0.18524467,3.0477001,0,MPO843928,375.0,14,2000,024,0.77,M-v,3Ek,MPCLINUX,(388101) 2005 UX301,20240604
c8201,16.56,0.15,K2555,148.50283,113.41426,137.0951,13.7253,0.1336176,0.23023336,2.6364763,0,MPO890992,383.0,14,2003,024,0.88,M-v,3Ek,MPCLINUX,(388201) 2006 DL193,20241124
c8301,16.76,0.15,K2555,34.11833,300.91997,207.79517,2.9726,0.1049925,0.18241833,3.0790995,0,MPO916887,163.0,13,2006,025,1.03,M-v,3Ek,MPCLINUX,(388301) 2006 SG147,20250425
c8401,16.55,0.15,K2555,174.97044,116.38435,237.61597,3.5649,0.1602814,0.18213458,3.0822967,0,MPO904519,211.0,13,2001,025,0.99,M-v,3Ek,MPCLINUX,(388401) 2006 VZ62,20250306
c8501,17.53,0.15,K2555,193.79472,71.08797,349.34129,8.29714,0.1147904,0.2881465,2.270181,0,E2024-GB3,327.0,11,2002,024,0.66,M-v,3Ek,MPCLINUX,(388501) 2007 EE113,20240408
