id,geo_point_2d,intensidad,alcaldia,area_m2,perime_m,intens_num,int2
2246.0,"19.4090401768,-99.1375996671",Muy Alto,Cuauhtémoc,116547.55693,1370.58743253,100,5
2263.0,"19.4350309612,-99.2182669185",Muy Bajo,Miguel Hidalgo,165851.15957,1797.37263527,0 a 25,1
2268.0,"19.4125984747,-99.0767987891",Muy Alto,Venustiano Carranza,215958.145317,2229.09618689,100,5
2309.0,"19.4115292337,-99.1261562644",Muy Alto,Venustiano Carranza,152108.545553,1736.92266586,100,5
2321.0,"19.4228044503,-99.1046561405",Muy Alto,Venustiano Carranza,133554.285637,1776.96201998,100,5
2388.0,"19.4504614117,-99.1060860893",Muy Alto,Venustiano Carranza,175573.398831,1973.90989337,100,5
2415.0,"19.4257090764,-99.112496527",Muy Alto,Venustiano Carranza,64271.5256636,1074.53438293,100,5
2423.0,"19.4270394124,-99.0609293539",Muy Alto,Venustiano Carranza,78932.4626613,1837.861605,100,5
2425.0,"19.4459550832,-99.0910792047",Muy Alto,Venustiano Carranza,151912.617659,1803.49500297,100,5
2439.0,"19.2185582633,-98.955986568",Alto,Tláhuac,2403593.89981,9892.09745242,73 a 99,4
3.0,"19.2540154821,-99.0819021436",Muy Alto,Xochimilco,284427.61082,2494.07565884,100,5
13.0,"19.3990235697,-99.1414032444",Muy Alto,Benito Juárez,280083.797472,2381.63219312,100,5
65.0,"19.3949045474,-99.1401205839",Muy Alto,Benito Juárez,251972.246046,2014.15273957,100,5
75.0,"19.3944492465,-99.1842190635",Alto,Benito Juárez,369566.383733,2966.4693846,73 a 99,4
79.0,"19.3803061077,-99.1680075816",Muy Alto,Benito Juárez,295591.305144,2266.4944963,100,5
113.0,"19.2689923723,-99.1193869687",Muy Alto,Xochimilco,286622.020527,2508.63182814,100,5
119.0,"19.3898319121,-99.1402473794",Muy Alto,Benito Juárez,210089.054855,2033.86599869,100,5
120.0,"19.2895747886,-99.1491818002",Muy Alto,Tlalpan,122714.129455,1517.02558888,100,5
123.0,"19.3975166578,-99.2039352106",Muy Bajo,Álvaro Obregón,288017.170839,3017.86135664,0 a 25,1
156.0,"19.2922501665,-99.128459787",Muy Alto,Tlalpan,150983.631426,1675.62380536,100,5
203.0,"19.2489532767,-99.0966847121",Alto,Xochimilco,388138.674091,4336.41617023,73 a 99,4
214.0,"19.2333872276,-99.1055159437",Muy Bajo,Xochimilco,1167978.68424,6886.84272289,0 a 25,1
216.0,"19.2218087502,-99.0942134703",Muy Bajo,Xochimilco,435771.803031,3031.47380134,0 a 25,1
219.0,"19.2490598024,-99.1634008697",Muy Bajo,Tlalpan,502191.819873,3813.51705061,0 a 25,1
224.0,"19.2654037806,-99.0096672953",Muy Alto,Tláhuac,702564.897088,5337.89470265,100,5
227.0,"19.21178195,-98.9692153074",Alto,Tláhuac,64184.525533,1175.48787323,73 a 99,4
255.0,"19.2752554444,-98.9943823587",Muy Alto,Tláhuac,153875.666013,1582.33271795,100,5
265.0,"19.3694919048,-99.1966547025",Muy Bajo,Álvaro Obregón,22299.4286933,831.986232538,0 a 25,1
270.0,"19.3257800334,-99.2310773043",Muy Bajo,La Magdalena Contreras,855615.41504,4611.94845126,0 a 25,1
282.0,"19.2889729775,-99.1202349222",Muy Alto,Tlalpan,181166.946451,2216.92777896,100,5
292.0,"19.3505024802,-99.2043955998",Muy Bajo,Álvaro Obregón,378535.385501,3986.98516717,0 a 25,1
304.0,"19.2307094091,-99.0007991049",Muy Bajo,Tláhuac,874968.655628,5029.21481605,0 a 25,1
332.0,"19.2867110593,-99.1265265111",Muy Alto,Tlalpan,118987.35564,1929.55066598,100,5
343.0,"19.3586707712,-99.0701804457",Muy Alto,Iztapalapa,273396.42424,2283.13738397,100,5
372.0,"19.2454849491,-99.0291016836",Muy Bajo,Xochimilco,197026.352704,2148.96761965,0 a 25,1
384.0,"19.2254938616,-98.9559498181",Alto,Tláhuac,939201.120923,4835.77907423,73 a 99,4
386.0,"19.2995617411,-99.1882227381",Muy Bajo,Tlalpan,106374.49233,1558.32136758,0 a 25,1
390.0,"19.2477677093,-99.1273878568",Muy Bajo,Xochimilco,707026.960315,5303.4964614,0 a 25,1
396.0,"19.2800438069,-99.0539605704",Muy Alto,Tláhuac,160083.025209,1994.11551755,100,5
400.0,"19.3602164821,-99.2576278733",Muy Bajo,Álvaro Obregón,229871.069108,2541.08864715,0 a 25,1
404.0,"19.2674195302,-99.1783097135",Muy Bajo,Tlalpan,402681.105274,5442.10111714,0 a 25,1
411.0,"19.2884168792,-99.03269649",Medio,Tláhuac,256316.43738,2238.40476776,50 a 72,3
427.0,"19.2916287089,-99.1348831155",Muy Alto,Tlalpan,377833.698128,3070.06071158,100,5
443.0,"19.321990353,-99.2602875799",Muy Bajo,Álvaro Obregón,266729.937349,2687.5442866,0 a 25,1
458.0,"19.3754564494,-99.2250747028",Muy Bajo,Álvaro Obregón,214278.714237,2682.52082823,0 a 25,1
461.0,"19.3653519833,-99.1927311517",Muy Bajo,Álvaro Obregón,124864.341407,1985.8171221,0 a 25,1
477.0,"19.3345703093,-99.2616864529",Muy Bajo,Álvaro Obregón,1617444.24237,7306.8312354,0 a 25,1
15.0,"19.3832538664,-99.1545055516",Muy Alto,Benito Juárez,270983.809075,2221.06343784,100,5
22.0,"19.2474326506,-99.0175796705",Muy Bajo,Xochimilco,837259.010624,5699.03366776,0 a 25,1
27.0,"19.2781739187,-99.1299981341",Muy Alto,Xochimilco,263083.523396,2284.84026444,100,5
46.0,"19.2699911115,-99.0955008857",Alto,Xochimilco,784226.60891,4335.88259117,73 a 99,4
73.0,"19.3814421961,-99.1899625607",Muy Bajo,Benito Juárez,221730.769042,2131.30619073,0 a 25,1
101.0,"19.3980046949,-99.167695161",Muy Alto,Benito Juárez,237018.477974,2197.38246564,100,5
132.0,"19.2401577025,-99.1166079997",Muy Bajo,Xochimilco,463986.937389,3070.65395958,0 a 25,1
151.0,"19.2791954439,-99.0032555606",Muy Alto,Tláhuac,183862.44737,1989.47184989,100,5
169.0,"19.3831633753,-99.2394784288",Muy Bajo,Álvaro Obregón,177145.186868,2459.39662498,0 a 25,1
184.0,"19.2487149547,-99.1166710538",Alto,Xochimilco,337318.910322,2712.15022522,73 a 99,4
185.0,"19.2451766274,-99.1202615955",Bajo,Xochimilco,617439.614417,4169.3219367,26 a 49,2
200.0,"19.2320356562,-99.113395823",Muy Bajo,Xochimilco,134160.399339,1867.53673753,0 a 25,1
208.0,"19.2972980117,-99.1179093656",Muy Alto,Tlalpan,84076.5868074,1266.6502679,100,5
227.0,"19.21178195,-98.9692153074",Alto,Tláhuac,64184.525533,1175.48787323,73 a 99,4
236.0,"19.282120185,-99.1302810922",Muy Alto,Xochimilco,442805.298221,3637.4881657,100,5
241.0,"19.3727984563,-99.245440975",Muy Bajo,Álvaro Obregón,732656.181203,5727.03752121,0 a 25,1
267.0,"19.3994109598,-99.2076457874",Muy Bajo,Álvaro Obregón,316451.510592,2644.49936024,0 a 25,1
271.0,"19.3805931863,-99.0354279835",Muy Alto,Iztapalapa,43090.810177,1270.4861458,100,5
277.0,"19.2544713733,-99.199892428",Muy Bajo,Tlalpan,971565.804692,6539.37828186,0 a 25,1
285.0,"19.3272582412,-99.2170613692",Muy Bajo,La Magdalena Contreras,901540.804721,4909.72005768,0 a 25,1
292.0,"19.3505024802,-99.2043955998",Muy Bajo,Álvaro Obregón,378535.385501,3986.98516717,0 a 25,1
298.0,"19.2556938009,-99.0020196515",Muy Alto,Tláhuac,830537.903291,6182.77097624,100,5
308.0,"19.358863821,-99.2065987584",Muy Bajo,Álvaro Obregón,265339.857021,2586.87918376,0 a 25,1
321.0,"19.2915100616,-99.0327896643",Muy Alto,Tláhuac,268559.070515,2410.96306431,100,5
323.0,"19.2771922614,-99.028409051",Bajo,Tláhuac,355850.190015,2734.1363449,26 a 49,2
328.0,"19.2782865605,-98.993918721",Alto,Tláhuac,147841.797564,1552.05393725,73 a 99,4
344.0,"19.3547428153,-99.0559061958",Muy Alto,Iztapalapa,305602.150861,2224.12088972,100,5
359.0,"19.3198202362,-98.9695136277",Muy Bajo,Tláhuac,31210.3144199,716.710830076,0 a 25,1
365.0,"19.3286504544,-99.0848408645",Alto,Iztapalapa,96582.024615,1401.28400279,73 a 99,4
383.0,"19.2284921231,-98.9668113753",Alto,Tláhuac,529313.226844,3225.72333375,73 a 99,4
